date,price_usd_mt,change_usd_mt,high_usd_mt,low_usd_mt,spread_usd_mt,port,fuel_type,source,url,scraped_at,daily_rank
2026-05-29,1024.5,70.0,1120.0,977.0,143.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-01,726.0,26.5,747.5,710.0,37.5,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-01,731.5,2.5,750.0,703.0,47.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-01,768.0,13.0,785.0,745.0,40.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-01,789.0,8.0,817.0,770.0,47.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-01,1003.5,-21.0,1022.0,970.0,52.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-02,712.5,-13.5,735.0,678.0,57.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-02,730.0,-1.5,755.0,708.0,47.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-02,772.0,4.0,789.0,747.0,42.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-02,792.0,3.0,812.0,780.0,32.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-02,1063.5,60.0,1160.0,1006.0,154.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-03,716.5,4.0,737.5,682.0,55.5,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-03,738.5,8.5,763.5,723.0,40.5,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-03,786.0,14.0,813.0,750.0,63.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-03,804.5,12.5,830.0,780.0,50.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-03,1201.0,137.5,1300.0,1018.0,282.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-04,709.0,-7.5,730.0,672.0,58.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-04,734.5,-4.0,755.0,713.0,42.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-04,768.0,-18.0,803.0,750.0,53.0,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-04,804.5,0.0,830.0,785.0,45.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-04,1183.0,-18.0,1230.0,1141.0,89.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-05,696.5,-12.5,730.0,660.0,70.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-05,736.0,1.5,755.0,718.0,37.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-05,744.0,-24.0,763.0,722.5,40.5,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-05,789.0,-15.5,825.0,770.5,54.5,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-05,1241.0,58.0,1286.0,1200.0,86.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
2026-06-08,701.0,4.5,725.0,664.0,61.0,Rotterdam,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/nwe/nl-rtm-rotterdam,2026-06-09 18:09:42,1.0
2026-06-08,748.5,12.5,760.0,733.0,27.0,Gibraltar,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/medabs/gi-gib-gibraltar,2026-06-09 18:10:02,2.0
2026-06-08,752.0,8.0,770.5,745.0,25.5,Houston,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/am/usgac/us-hou-houston,2026-06-09 18:09:46,3.0
2026-06-08,797.5,8.5,825.0,775.0,50.0,Singapore,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/apac/sea/sg-sin-singapore,2026-06-09 18:09:38,4.0
2026-06-08,1233.5,-7.5,1260.0,1200.0,60.0,Fujairah,VLSFO,Ship & Bunker,https://shipandbunker.com/prices/emea/me/ae-fjr-fujairah,2026-06-09 18:09:59,5.0
