date,expensive_port,cheap_port,expensive_price_usd_mt,cheap_price_usd_mt,spread_usd_mt,theoretical_saving_1000mt_usd
2026-06-02,Fujairah,Gibraltar,1063.5,730.0,333.5,333500.0
2026-06-02,Fujairah,Houston,1063.5,772.0,291.5,291500.0
2026-06-02,Fujairah,Singapore,1063.5,792.0,271.5,271500.0
2026-06-02,Singapore,Rotterdam,792.0,712.5,79.5,79500.0
2026-06-02,Singapore,Gibraltar,792.0,730.0,62.0,62000.0
2026-06-02,Houston,Rotterdam,772.0,712.5,59.5,59500.0
2026-06-02,Houston,Gibraltar,772.0,730.0,42.0,42000.0
2026-06-02,Singapore,Houston,792.0,772.0,20.0,20000.0
2026-06-02,Gibraltar,Rotterdam,730.0,712.5,17.5,17500.0
2026-06-03,Fujairah,Rotterdam,1201.0,716.5,484.5,484500.0
2026-06-03,Fujairah,Gibraltar,1201.0,738.5,462.5,462500.0
2026-06-03,Fujairah,Houston,1201.0,786.0,415.0,415000.0
2026-06-03,Fujairah,Singapore,1201.0,804.5,396.5,396500.0
2026-06-03,Singapore,Rotterdam,804.5,716.5,88.0,88000.0
2026-06-03,Houston,Rotterdam,786.0,716.5,69.5,69500.0
2026-06-03,Singapore,Gibraltar,804.5,738.5,66.0,66000.0
2026-06-03,Houston,Gibraltar,786.0,738.5,47.5,47500.0
2026-06-03,Gibraltar,Rotterdam,738.5,716.5,22.0,22000.0
2026-06-03,Singapore,Houston,804.5,786.0,18.5,18500.0
2026-06-04,Fujairah,Rotterdam,1183.0,709.0,474.0,474000.0
2026-06-04,Fujairah,Gibraltar,1183.0,734.5,448.5,448500.0
2026-06-04,Fujairah,Houston,1183.0,768.0,415.0,415000.0
2026-06-04,Fujairah,Singapore,1183.0,804.5,378.5,378500.0
2026-06-04,Singapore,Rotterdam,804.5,709.0,95.5,95500.0
2026-06-04,Singapore,Gibraltar,804.5,734.5,70.0,70000.0
2026-06-04,Houston,Rotterdam,768.0,709.0,59.0,59000.0
2026-06-04,Singapore,Houston,804.5,768.0,36.5,36500.0
2026-06-04,Houston,Gibraltar,768.0,734.5,33.5,33500.0
2026-06-04,Gibraltar,Rotterdam,734.5,709.0,25.5,25500.0
2026-06-05,Fujairah,Rotterdam,1241.0,696.5,544.5,544500.0
2026-06-05,Fujairah,Gibraltar,1241.0,736.0,505.0,505000.0
2026-06-05,Fujairah,Houston,1241.0,744.0,497.0,497000.0
2026-06-05,Fujairah,Singapore,1241.0,789.0,452.0,452000.0
2026-06-05,Singapore,Rotterdam,789.0,696.5,92.5,92500.0
2026-06-05,Singapore,Gibraltar,789.0,736.0,53.0,53000.0
2026-06-05,Houston,Rotterdam,744.0,696.5,47.5,47500.0
2026-06-05,Singapore,Houston,789.0,744.0,45.0,45000.0
2026-06-05,Gibraltar,Rotterdam,736.0,696.5,39.5,39500.0
2026-06-05,Houston,Gibraltar,744.0,736.0,8.0,8000.0
2026-06-08,Fujairah,Rotterdam,1233.5,701.0,532.5,532500.0
2026-06-08,Fujairah,Gibraltar,1233.5,748.5,485.0,485000.0
2026-06-08,Fujairah,Houston,1233.5,752.0,481.5,481500.0
2026-06-08,Fujairah,Singapore,1233.5,797.5,436.0,436000.0
2026-06-08,Singapore,Rotterdam,797.5,701.0,96.5,96500.0
2026-06-08,Houston,Rotterdam,752.0,701.0,51.0,51000.0
2026-06-08,Singapore,Gibraltar,797.5,748.5,49.0,49000.0
2026-06-08,Gibraltar,Rotterdam,748.5,701.0,47.5,47500.0
2026-06-08,Singapore,Houston,797.5,752.0,45.5,45500.0
2026-06-08,Houston,Gibraltar,752.0,748.5,3.5,3500.0
